filename,filepath,year,total_words,processed_date,finance_leases,finance_collateral,finance_convertible,finance_leasehold,finance_floating,finance_collateralization,finance_lessors,finance_revaluation,finance_securitizations,finance_securitized,finance_subleases,legal_litigation,legal_covenants,legal_licensing,legal_infringement,legal_lawsuits,legal_covenant,legal_lawsuit,legal_revocation,accounting_carryforwards,accounting_intangibles,accounting_reclassified,accounting_carryforward,accounting_accrues,accounting_bankruptcies,accounting_carryback,accounting_subsidy,hedging_derivative,hedging_derivatives,hedging_hedges,hedging_swaps,hedging_hedged,hedging_counterparties,hedging_counterparty,international_internationalglobal,international_worldwide,international_complex,international_repatriate,international_repatriated,international_repatriation,international_sovereign,org_form_segments,org_form_entities,org_form_affiliates,org_form_restructuring,org_form_ventures,org_form_mergers,org_form_merging,org_form_outsource,org_form_partnering,org_form_restructure,org_form_restructured
20240808_10-K_edgar_data_1754301_0001628280-24-036123.txt,data/raw/2024/QTR3/20240808_10-K_edgar_data_1754301_0001628280-24-036123.txt,2024,62872,2026-05-12T14:57:33.019729,5,0,6,1,1,0,0,0,0,0,0,13,4,8,6,14,0,10,3,3,1,1,0,0,0,0,1,9,1,0,1,0,1,0,0,1,7,0,0,0,0,17,9,25,24,0,1,0,0,1,0,0
20240808_10-K_edgar_data_1846235_0001213900-24-066528.txt,data/raw/2024/QTR3/20240808_10-K_edgar_data_1846235_0001213900-24-066528.txt,2024,55147,2026-05-12T14:57:33.044131,0,0,22,0,0,0,0,0,0,0,0,1,4,0,0,3,1,0,0,0,0,1,0,0,0,0,0,4,2,0,0,0,0,0,0,0,3,0,0,0,0,0,17,20,0,0,0,0,0,0,0,0
20240304_10-K_edgar_data_1812173_0001213900-24-019594.txt,data/raw/2024/QTR1/20240304_10-K_edgar_data_1812173_0001213900-24-019594.txt,2024,66118,2026-05-12T14:55:00.726890,2,1,6,9,1,0,0,0,0,0,0,47,5,8,9,12,1,4,0,5,0,1,2,0,0,0,0,7,0,0,0,0,0,0,0,8,16,0,1,0,0,0,9,10,1,3,3,0,0,0,0,0
20240304_10-K_edgar_data_1828791_0001828791-24-000011.txt,data/raw/2024/QTR1/20240304_10-K_edgar_data_1828791_0001828791-24-000011.txt,2024,72195,2026-05-12T14:55:00.756881,15,1,8,3,0,0,1,0,0,0,0,21,9,1,5,4,5,0,0,1,0,3,1,1,0,0,0,1,0,0,0,0,0,0,0,1,13,0,0,0,0,10,9,6,24,2,4,1,0,0,1,0
20240304_10-K_edgar_data_1834543_0000950170-24-024148.txt,data/raw/2024/QTR1/20240304_10-K_edgar_data_1834543_0000950170-24-024148.txt,2024,149229,2026-05-12T14:55:00.816549,1,219,8,0,9,0,0,7,0,0,0,9,37,0,2,0,11,0,2,1,0,0,0,2,2,0,0,5,13,0,10,2,11,9,0,2,6,0,0,0,1,4,119,86,3,1,3,0,1,0,1,0
20240304_10-K_edgar_data_1851322_0001851322-24-000048.txt,data/raw/2024/QTR1/20240304_10-K_edgar_data_1851322_0001851322-24-000048.txt,2024,91911,2026-05-12T14:55:00.855088,0,72,6,0,29,0,0,0,2,1,0,13,37,2,0,1,12,1,0,1,0,1,0,2,0,0,0,6,13,0,15,8,6,2,0,5,12,0,0,0,0,1,21,80,3,1,0,0,0,0,5,0
20240304_10-K_edgar_data_1858028_0001493152-24-008629.txt,data/raw/2024/QTR1/20240304_10-K_edgar_data_1858028_0001493152-24-008629.txt,2024,36137,2026-05-12T14:55:00.869840,0,1,6,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,27,26,0,0,10,0,0,0,0,0
20240304_10-K_edgar_data_1866175_0001866175-24-000015.txt,data/raw/2024/QTR1/20240304_10-K_edgar_data_1866175_0001866175-24-000015.txt,2024,98376,2026-05-12T14:55:00.909915,29,7,4,16,2,0,0,0,0,0,0,19,20,0,2,3,1,0,0,2,0,4,2,0,0,0,0,75,31,4,11,3,10,9,0,4,10,0,0,0,0,5,32,61,7,2,2,0,0,0,0,0
20240304_10-K_edgar_data_1883814_0001558370-24-002367.txt,data/raw/2024/QTR1/20240304_10-K_edgar_data_1883814_0001558370-24-002367.txt,2024,48505,2026-05-12T14:55:00.929878,16,1,1,1,0,0,0,0,0,0,0,13,9,0,0,7,2,0,5,2,0,0,3,4,0,1,3,0,2,0,0,0,0,2,0,4,10,0,0,0,0,21,15,9,0,8,1,0,2,1,2,0
20240304_10-K_edgar_data_1900679_0001493152-24-008715.txt,data/raw/2024/QTR1/20240304_10-K_edgar_data_1900679_0001493152-24-008715.txt,2024,24761,2026-05-12T14:55:00.940137,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,11,10,1,1,0,1,0,0,0,0
